Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Samsung,AMD Ryzen 3,64.0,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,8.6,3.08,Windows,3543.53
Samsung,Intel i9,64.0,256GB SSD,AMD Radeon RX 6800,13.3,1920x1080,10.6,1.54,macOS,3795.01
HP,Intel i7,8.0,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,11.8,2.66,Linux,2389.37
MSI,Intel i9,8.0,2TB SSD,Integrated,14.0,3840x2160,9.4,3.19,macOS,2435.32
Microsoft,AMD Ryzen 9,8.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,6.6,1.33,Linux,2328.57
Acer,AMD Ryzen 5,4.0,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,10.7,1.3,FreeDOS,1660.74
MSI,AMD Ryzen 7,8.0,1TB HDD,Nvidia RTX 3080,14.0,1920x1080,11.1,2.0,Linux,1225.12
Samsung,Intel i3,64.0,1TB SSD,Nvidia GTX 1650,14.0,1366x768,8.8,3.2,FreeDOS,1667.97
Apple,Intel i3,32.0,1TB SSD,Integrated,16.0,1366x768,8.2,2.58,macOS,1322.63
Lenovo,AMD Ryzen 7,16.0,2TB SSD,Integrated,13.3,3840x2160,4.1,1.32,Windows,1690.5
MSI,Intel i3,64.0,256GB SSD,AMD Radeon RX 6600,13.3,1366x768,5.9,2.55,Linux,2110.91
Dell,Intel i7,16.0,1TB HDD,Nvidia GTX 1650,16.0,3840x2160,6.6,3.4,Windows,2382.6
HP,AMD Ryzen 5,64.0,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,11.6,3.2,Windows,2518.04
MSI,Intel i7,4.0,512GB SSD,Integrated,16.0,2560x1440,8.4,2.94,Windows,1333.96
Asus,Intel i5,8.0,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,8.4,1.24,Linux,974.69
Dell,Intel i9,32.0,2TB SSD,Nvidia RTX 3080,14.0,2560x1440,8.5,1.32,macOS,3359.13
MSI,AMD Ryzen 3,32.0,512GB SSD,Nvidia GTX 1650,14.0,1366x768,6.2,2.31,Linux,1577.52
Asus,Intel i5,32.0,1TB HDD,Nvidia GTX 1650,13.3,3840x2160,9.7,2.23,Windows,2158.02
MSI,Intel i5,32.0,1TB SSD,AMD Radeon RX 6600,14.0,2560x1440,5.6,1.24,FreeDOS,2636.91
Razer,AMD Ryzen 5,8.0,1TB SSD,Nvidia RTX 3060,15.6,1366x768,11.2,2.8,Linux,1413.93
Dell,AMD Ryzen 5,4.0,2TB SSD,Nvidia RTX 2060,16.0,1920x1080,8.0,2.5,macOS,1118.09
Razer,Intel i9,64.0,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,4.9,3.09,FreeDOS,9032.16
Asus,AMD Ryzen 7,4.0,2TB SSD,Nvidia RTX 2060,14.0,1920x1080,10.0,1.22,FreeDOS,1048.32
Microsoft,Intel i7,8.0,512GB SSD,Integrated,16.0,2560x1440,4.3,2.21,macOS,1089.96
Lenovo,AMD Ryzen 3,16.0,1TB HDD,AMD Radeon RX 6800,17.3,1366x768,4.6,1.74,Windows,845.64
Samsung,Intel i3,4.0,1TB SSD,Nvidia RTX 2060,17.3,1920x1080,8.0,1.26,FreeDOS,825.89
Samsung,AMD Ryzen 9,16.0,2TB SSD,AMD Radeon RX 6600,15.6,1366x768,6.6,1.72,Windows,1709.79
Razer,Intel i9,64.0,1TB HDD,Integrated,14.0,1366x768,4.5,2.97,FreeDOS,2513.62
Asus,AMD Ryzen 5,32.0,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,6.7,1.76,Linux,2803.58
Razer,Intel i7,32.0,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,6.7,1.88,Linux,4889.73
Samsung,AMD Ryzen 9,64.0,1TB SSD,Nvidia RTX 2060,15.6,1366x768,5.1,1.42,FreeDOS,3685.52
Lenovo,AMD Ryzen 7,32.0,2TB SSD,AMD Radeon RX 6600,17.3,1366x768,8.8,2.19,FreeDOS,1747.33
Apple,Intel i5,8.0,1TB HDD,Nvidia RTX 3080,15.6,1920x1080,9.7,3.07,macOS,1499.19
Samsung,AMD Ryzen 9,32.0,512GB SSD,AMD Radeon RX 6800,17.3,1366x768,8.0,2.55,FreeDOS,2314.57
Razer,Intel i3,16.0,256GB SSD,Nvidia RTX 3080,17.3,1366x768,7.0,3.18,FreeDOS,1152.34
Lenovo,Intel i5,64.0,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,11.4,2.7,Windows,4200.16
Microsoft,AMD Ryzen 9,8.0,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,11.9,2.84,Linux,1816.09
Samsung,AMD Ryzen 3,8.0,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,7.0,1.65,macOS,1040.34
Razer,Intel i9,64.0,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,8.5,2.95,Windows,9222.39
Acer,Intel i7,64.0,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,11.4,3.2,FreeDOS,3815.29
HP,Intel i3,64.0,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,7.7,3.26,Linux,1938.13
Razer,AMD Ryzen 7,4.0,2TB SSD,Nvidia RTX 3060,16.0,1366x768,10.0,1.3,macOS,1562.71
Razer,AMD Ryzen 3,8.0,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,9.3,1.89,FreeDOS,1578.8
Microsoft,AMD Ryzen 7,64.0,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,5.2,1.5,FreeDOS,3129.11
Razer,AMD Ryzen 9,16.0,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,2.09,Windows,2942.09
Lenovo,AMD Ryzen 3,32.0,2TB SSD,Nvidia GTX 1650,16.0,2560x1440,8.9,2.72,Windows,1761.9
Apple,AMD Ryzen 3,4.0,512GB SSD,Nvidia RTX 2060,16.0,1366x768,11.9,2.11,FreeDOS,1161.14
Acer,Intel i3,8.0,512GB SSD,Nvidia RTX 2060,15.6,1920x1080,10.1,1.28,macOS,795.04
Razer,Intel i7,4.0,1TB SSD,Nvidia GTX 1650,14.0,1920x1080,11.6,2.23,Windows,1493.69
HP,Intel i5,8.0,1TB SSD,AMD Radeon RX 6600,16.0,1920x1080,9.9,1.8,macOS,1181.74
Lenovo,Intel i3,4.0,1TB HDD,Integrated,14.0,1920x1080,9.0,2.16,Linux,518.46
Acer,Intel i5,64.0,256GB SSD,Nvidia RTX 3060,16.0,3840x2160,12.0,1.91,Windows,4391.87
Asus,AMD Ryzen 7,4.0,1TB HDD,Nvidia GTX 1650,16.0,1920x1080,6.9,1.5,Windows,1039.05
Apple,Intel i7,4.0,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,10.6,3.26,Windows,2771.67
HP,Intel i5,4.0,2TB SSD,Integrated,17.3,3840x2160,4.9,1.46,macOS,1048.56
Acer,Intel i9,4.0,2TB SSD,Integrated,14.0,3840x2160,5.4,2.74,Linux,1575.64
Samsung,Intel i5,16.0,256GB SSD,Nvidia RTX 3080,17.3,1366x768,7.2,2.6,FreeDOS,1256.17
Acer,AMD Ryzen 3,8.0,1TB HDD,Nvidia GTX 1650,15.6,3840x2160,11.3,2.65,Windows,1372.66
MSI,AMD Ryzen 9,4.0,2TB SSD,AMD Radeon RX 6800,17.3,1366x768,7.0,2.7,macOS,1779.42
Asus,AMD Ryzen 9,16.0,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,10.4,2.81,Windows,2102.34
Razer,AMD Ryzen 7,16.0,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,4.2,1.87,Windows,3899.89
Razer,AMD Ryzen 9,64.0,1TB SSD,AMD Radeon RX 6600,13.3,1366x768,8.1,1.98,Linux,4678.14
Lenovo,Intel i9,32.0,1TB HDD,Nvidia RTX 3060,13.3,1920x1080,4.1,3.41,FreeDOS,2078.85
Razer,Intel i9,8.0,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,9.2,1.78,Windows,4321.1
Asus,AMD Ryzen 3,32.0,1TB SSD,Nvidia RTX 3060,13.3,2560x1440,8.4,1.52,macOS,1591.59
HP,Intel i9,32.0,256GB SSD,Nvidia RTX 3060,17.3,1366x768,5.6,1.99,Windows,2460.96
Microsoft,Intel i3,16.0,512GB SSD,Nvidia RTX 2060,17.3,3840x2160,9.1,1.32,Windows,1793.84
Apple,AMD Ryzen 7,32.0,512GB SSD,Nvidia RTX 3080,14.0,1366x768,7.8,2.78,Linux,2597.12
HP,AMD Ryzen 7,16.0,512GB SSD,Nvidia RTX 2060,15.6,3840x2160,8.2,3.49,FreeDOS,2635.95
Dell,Intel i5,4.0,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,9.0,1.94,macOS,759.01
Razer,Intel i7,4.0,1TB SSD,AMD Radeon RX 6800,14.0,1366x768,8.8,3.5,Windows,1393.5
MSI,Intel i7,4.0,256GB SSD,Integrated,14.0,1920x1080,9.8,2.8,Linux,896.36
Apple,AMD Ryzen 7,8.0,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,11.9,2.99,macOS,3280.32
Lenovo,AMD Ryzen 7,64.0,1TB SSD,Nvidia GTX 1650,13.3,2560x1440,6.9,1.5,macOS,3657.29
Apple,AMD Ryzen 9,32.0,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,6.1,2.44,FreeDOS,6530.04
Razer,Intel i9,4.0,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,8.0,1.66,macOS,2490.61
Asus,Intel i3,32.0,2TB SSD,AMD Radeon RX 6800,14.0,2560x1440,7.7,2.52,Windows,1545.5
Asus,Intel i9,64.0,1TB HDD,Nvidia RTX 2060,16.0,2560x1440,4.4,2.31,Windows,4460.16
Samsung,Intel i7,64.0,1TB SSD,Nvidia GTX 1650,17.3,1366x768,10.7,1.46,macOS,2619.87
Lenovo,AMD Ryzen 9,8.0,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,4.6,3.35,macOS,2364.57
Apple,AMD Ryzen 3,16.0,2TB SSD,Nvidia GTX 1650,17.3,1366x768,5.3,2.3,Linux,1247.88
Razer,AMD Ryzen 5,32.0,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,7.0,2.9,Linux,2964.82
Asus,Intel i3,16.0,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,9.6,1.36,FreeDOS,1433.41
Razer,Intel i9,64.0,1TB HDD,Nvidia RTX 2060,16.0,3840x2160,10.5,2.65,Windows,8239.94
Dell,Intel i7,32.0,256GB SSD,Nvidia RTX 3080,17.3,1366x768,4.8,1.57,Windows,1730.52
Apple,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6600,15.6,1366x768,7.8,3.41,Windows,1010.73
HP,AMD Ryzen 3,64.0,256GB SSD,Nvidia RTX 3080,13.3,1920x1080,4.3,3.27,FreeDOS,2058.68
Asus,Intel i5,64.0,256GB SSD,Integrated,15.6,2560x1440,8.6,2.63,Linux,2332.66
Razer,Intel i3,16.0,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,4.5,3.18,macOS,1669.47
HP,AMD Ryzen 9,16.0,512GB SSD,Integrated,16.0,1366x768,6.1,1.81,Windows,1375.0
Apple,Intel i3,64.0,2TB SSD,AMD Radeon RX 6600,17.3,3840x2160,10.1,3.12,FreeDOS,5393.18
Acer,AMD Ryzen 3,16.0,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,9.7,1.44,FreeDOS,1582.54
MSI,Intel i5,32.0,256GB SSD,Integrated,15.6,1920x1080,6.8,2.5,Windows,1530.04
Acer,AMD Ryzen 7,32.0,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,9.3,2.98,FreeDOS,3154.06
Lenovo,AMD Ryzen 5,64.0,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,6.8,1.27,macOS,1727.67
Razer,AMD Ryzen 3,8.0,1TB SSD,Nvidia GTX 1650,15.6,2560x1440,7.9,2.46,macOS,1744.33
Acer,Intel i9,32.0,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,5.6,1.8,Linux,2881.34
Asus,Intel i5,4.0,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,6.1,2.93,macOS,1368.12
Dell,AMD Ryzen 3,16.0,2TB SSD,Integrated,16.0,1920x1080,6.2,1.3,FreeDOS,756.4
Microsoft,Intel i9,4.0,256GB SSD,Nvidia RTX 2060,13.3,2560x1440,10.4,3.22,macOS,1938.34
Apple,Intel i7,8.0,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,8.8,2.07,Windows,3381.1
Dell,Intel i3,8.0,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,9.1,3.24,macOS,1535.15
Asus,AMD Ryzen 9,8.0,1TB HDD,Integrated,13.3,1366x768,8.1,1.95,Windows,876.49
Dell,AMD Ryzen 5,64.0,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,9.4,3.22,FreeDOS,2482.42
Apple,AMD Ryzen 7,16.0,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,4.4,1.79,FreeDOS,3102.65
Apple,AMD Ryzen 9,64.0,1TB HDD,Nvidia RTX 2060,13.3,1920x1080,5.5,2.35,macOS,4881.65
Razer,Intel i7,8.0,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,5.8,3.07,Linux,2472.44
Microsoft,AMD Ryzen 7,64.0,2TB SSD,Nvidia GTX 1650,15.6,1366x768,7.7,2.41,FreeDOS,2809.99
HP,AMD Ryzen 3,32.0,1TB HDD,Integrated,14.0,1920x1080,6.1,3.44,Windows,797.45
Lenovo,Intel i5,64.0,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,8.4,3.01,FreeDOS,2419.44
Acer,AMD Ryzen 9,4.0,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,4.1,1.95,Windows,2332.15
Acer,AMD Ryzen 7,8.0,256GB SSD,Nvidia RTX 3060,13.3,1366x768,11.3,2.44,Linux,1096.55
Samsung,AMD Ryzen 7,64.0,2TB SSD,Nvidia GTX 1650,14.0,1366x768,9.1,3.14,Windows,2422.24
Razer,AMD Ryzen 7,64.0,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,4.2,2.94,FreeDOS,5648.92
Dell,Intel i5,8.0,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.1,2.45,Windows,1300.88
Asus,AMD Ryzen 9,8.0,1TB HDD,Integrated,16.0,2560x1440,10.8,2.59,Windows,1296.28
Lenovo,AMD Ryzen 9,32.0,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.4,3.01,Windows,2280.41
Samsung,AMD Ryzen 7,8.0,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,7.6,3.46,Linux,2336.84
Asus,Intel i5,8.0,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.4,2.89,Linux,1278.94
Lenovo,Intel i7,4.0,1TB SSD,Integrated,13.3,1366x768,4.6,3.35,Windows,566.31
Dell,AMD Ryzen 5,16.0,512GB SSD,Integrated,14.0,3840x2160,7.5,3.06,Linux,1278.94
MSI,AMD Ryzen 5,32.0,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.7,1.25,FreeDOS,3498.91
MSI,AMD Ryzen 3,16.0,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,8.8,1.27,Windows,1428.51
Asus,Intel i3,4.0,1TB SSD,AMD Radeon RX 6800,13.3,1366x768,4.2,3.42,FreeDOS,806.82
MSI,AMD Ryzen 9,8.0,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,5.3,1.88,Windows,3556.83
Apple,AMD Ryzen 3,16.0,1TB HDD,Nvidia RTX 3080,17.3,2560x1440,5.4,2.92,Linux,1817.48
MSI,Intel i7,64.0,512GB SSD,AMD Radeon RX 6800,13.3,1920x1080,4.4,1.74,FreeDOS,3976.85
Asus,AMD Ryzen 9,32.0,256GB SSD,Nvidia RTX 2060,15.6,1366x768,6.6,1.4,Windows,2486.76
Asus,Intel i7,32.0,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,10.7,1.83,Windows,2064.92
Razer,Intel i9,32.0,512GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.3,1.36,Windows,6840.28
HP,AMD Ryzen 9,64.0,1TB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,1.58,Linux,3695.54
Acer,Intel i5,8.0,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,9.7,3.08,Windows,821.84
Asus,Intel i9,64.0,2TB SSD,Nvidia RTX 3060,15.6,3840x2160,11.7,2.51,Windows,7099.91
Samsung,Intel i3,4.0,1TB SSD,AMD Radeon RX 6600,16.0,3840x2160,11.6,2.85,macOS,1244.31
HP,Intel i9,4.0,1TB SSD,Nvidia RTX 3060,14.0,1366x768,4.7,1.35,Windows,1338.48
Acer,Intel i9,4.0,1TB HDD,Integrated,13.3,3840x2160,7.1,1.42,Linux,1402.27
Asus,AMD Ryzen 9,16.0,2TB SSD,Nvidia RTX 3080,16.0,2560x1440,7.1,1.4,FreeDOS,2795.78
Samsung,Intel i5,16.0,1TB HDD,Integrated,13.3,1366x768,9.0,3.39,macOS,713.12
Asus,Intel i9,32.0,1TB HDD,Nvidia RTX 3060,15.6,2560x1440,7.8,1.82,Linux,2922.13
Razer,AMD Ryzen 3,4.0,512GB SSD,Nvidia GTX 1650,16.0,2560x1440,9.6,2.74,macOS,1369.76
Microsoft,Intel i3,16.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,9.4,2.65,Windows,1393.62
Samsung,Intel i9,8.0,256GB SSD,Integrated,17.3,1366x768,9.9,2.48,macOS,1161.65
Lenovo,AMD Ryzen 7,4.0,2TB SSD,Nvidia RTX 3060,15.6,1920x1080,6.9,2.75,Linux,1245.92
Samsung,Intel i7,32.0,256GB SSD,Integrated,17.3,3840x2160,4.6,3.22,macOS,2315.84
Acer,AMD Ryzen 9,64.0,512GB SSD,Nvidia RTX 2060,13.3,2560x1440,8.2,2.04,Windows,5036.46
Acer,Intel i5,8.0,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,10.9,1.49,macOS,1356.93
Razer,Intel i7,32.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,5.9,2.65,Windows,3651.78
Microsoft,Intel i3,32.0,1TB SSD,AMD Radeon RX 6600,17.3,1920x1080,11.6,1.66,Windows,1426.17
Samsung,Intel i5,64.0,2TB SSD,AMD Radeon RX 6600,17.3,1920x1080,9.4,2.32,FreeDOS,2685.77
Razer,AMD Ryzen 3,16.0,2TB SSD,AMD Radeon RX 6600,16.0,1366x768,8.8,3.31,Windows,1344.13
HP,AMD Ryzen 3,32.0,2TB SSD,Nvidia RTX 3060,13.3,1366x768,11.3,2.44,FreeDOS,1108.52
Samsung,Intel i9,8.0,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,11.3,2.34,Windows,2003.17
Asus,Intel i7,4.0,256GB SSD,Nvidia RTX 3060,15.6,1366x768,5.4,3.47,Windows,1185.27
HP,Intel i3,8.0,1TB HDD,Nvidia RTX 2060,16.0,1920x1080,11.9,2.04,Linux,921.33
MSI,Intel i7,16.0,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,6.4,1.55,Windows,2993.71
Dell,Intel i3,8.0,2TB SSD,AMD Radeon RX 6600,16.0,3840x2160,11.9,2.47,FreeDOS,1620.03
Lenovo,Intel i9,4.0,2TB SSD,Nvidia GTX 1650,15.6,1366x768,11.0,3.46,macOS,1530.85
MSI,AMD Ryzen 9,8.0,256GB SSD,Nvidia RTX 3080,14.0,1366x768,7.2,2.81,macOS,1769.83
